,Exp,Folder,Mode,Frame,MeanR,VarR,MinR,Q1R,MedR,Q3R,MaxR,SkewR,KurtR,PtsR,MeanSig,VarSig,MinSig,Q1Sig,MedSig,Q3Sig,MaxSig,SkewSig,KurtSig,PtsSig,MeanRef,VarRef,MinRef,Q1Ref,MedRef,Q3Ref,MaxRef,SkewRef,KurtRef,PtsRef,MeanIR,VarIR,MinIR,Q1IR,MedIR,Q3IR,MaxIR,SkewIR,KurtIR,PtsIR
1891,18_09_2024_2gSodium,01_Full,Degen,1891,12.123228454589842,8623.562150716001,0.0,0.0,0.0,0.0,927.7,8.151117369880353,66.88999842873464,1397,3.4756622314453125,680.5738278390374,0.0,0.0,0.0,0.0,1253.9,15.746964469224908,385.7867970707508,14560,0.4193817138671875,20.156785604050388,0.0,0.0,0.0,0.0,143.9,16.086877509552714,313.0668422166716,1417,215.24532470703122,174664.5024024581,0.0,0.0,0.0,0.0,2164.0,1.607765203209162,1.0767271151859896,14560
1892,18_09_2024_2gSodium,01_Full,Degen,1892,12.143644714355469,8611.742474258783,0.0,0.0,0.0,0.0,925.3,8.156902518377718,66.99445365318864,1426,3.482208251953125,682.3559563418851,0.0,0.0,0.0,0.0,1244.9,15.748203475135348,384.98537622648325,14560,0.4200347900390625,20.187636326914653,0.0,0.0,0.0,0.0,143.4,16.088048892256307,313.20869194452143,1448,215.3482086181641,174848.12054336074,0.0,0.0,0.0,0.0,2153.7,1.6080130207826935,1.0777211161315776,14560
1893,18_09_2024_2gSodium,01_Full,Degen,1893,12.089547729492189,8613.051282351602,0.0,0.0,0.0,0.0,926.8,8.163492681637775,67.05722017558868,1393,3.4803390502929688,682.3882186411483,0.0,0.0,0.0,0.0,1244.5,15.692799576886836,381.6546096269527,14560,0.4209197998046875,20.25610288931988,0.0,0.0,0.0,0.0,143.5,16.058122038854098,312.007362431514,1416,215.1933380126953,174552.6647807522,0.0,0.0,0.0,0.0,2136.2,1.607182449108224,1.0736895287881474,14560
1894,18_09_2024_2gSodium,01_Full,Degen,1894,12.100778198242187,8614.805029301633,0.0,0.0,0.0,0.0,927.3,8.155360162520157,66.90982773741855,1400,3.481150817871094,683.2864713379716,0.0,0.0,0.0,0.0,1247.9,15.713603258048332,382.261482400277,14560,0.4206222534179687,20.291221603767486,0.0,0.0,0.0,0.0,143.7,16.094164283092315,313.1424661970008,1421,215.0933670043945,174412.51029184932,0.0,0.0,0.0,0.0,2148.6,1.6076477516430876,1.0760737772738551,14560
1895,18_09_2024_2gSodium,01_Full,Degen,1895,12.204536437988283,8672.309017964431,0.0,0.0,0.0,0.0,926.4,8.122394056151506,66.39217375788303,1414,3.497615051269531,686.5291253239824,0.0,0.0,0.0,0.0,1269.0,15.755370011131768,387.51733390294896,14560,0.4221511840820313,20.311443071381657,0.0,0.0,0.0,0.0,144.5,16.061408133705655,312.1017719277867,1435,215.17828216552738,174551.06742094428,0.0,0.0,0.0,0.0,2144.7,1.6075643508606194,1.0751361657740066,14560
1896,18_09_2024_2gSodium,01_Full,Degen,1896,12.191239929199218,8671.830494397635,0.0,0.0,0.0,0.0,926.3,8.137143175084836,66.64557682546311,1410,3.501313781738282,687.546481886038,0.0,0.0,0.0,0.0,1256.5,15.681488819393099,381.536509046652,14560,0.422314453125,20.36317516088486,0.0,0.0,0.0,0.0,144.0,16.040107846162723,310.8992878893296,1430,215.3167495727539,174799.21664068592,0.0,0.0,0.0,0.0,2135.9,1.608180309777377,1.0790882367650978,14560
1897,18_09_2024_2gSodium,01_Full,Degen,1897,12.179656982421873,8667.581602152846,0.0,0.0,0.0,0.0,927.0,8.124791696961855,66.3949840749748,1410,3.5006423950195313,687.4572815392329,0.0,0.0,0.0,0.0,1243.2,15.667622812052294,380.16036253307385,14560,0.4222473144531249,20.389693960808213,0.0,0.0,0.0,0.0,143.5,16.067198418492456,311.86406789746815,1433,215.27818603515624,174710.580866314,0.0,0.0,0.0,0.0,2139.4,1.6076091777102421,1.0759201376159533,14560
1898,18_09_2024_2gSodium,01_Full,Degen,1898,12.268885803222657,8718.78498176638,0.0,0.0,0.0,0.0,925.4,8.084733941647489,65.73538697896178,1420,3.5044128417968747,689.1309619721397,0.0,0.0,0.0,0.0,1263.5,15.82908341628222,392.8021651618114,14560,0.4224960327148437,20.33023138578748,0.0,0.0,0.0,0.0,144.6,16.11172236453772,314.45522583643503,1440,215.10627136230468,174443.8242456432,0.0,0.0,0.0,0.0,2133.8,1.6077758523684897,1.0764641995126345,14560
1899,18_09_2024_2gSodium,01_Full,Degen,1899,12.234837341308594,8693.878406263217,0.0,0.0,0.0,0.0,925.8,8.114021699138211,66.2339003614042,1418,3.5108078002929686,693.1570226262672,0.0,0.0,0.0,0.0,1288.4,15.91234841052581,398.9117092997094,14560,0.4234634399414063,20.4334178202576,0.0,0.0,0.0,0.0,145.5,16.090118847221166,313.4888576372741,1439,215.1806182861328,174564.70838289408,0.0,0.0,0.0,0.0,2140.8,1.607673935519159,1.0753840419714606,14560
1900,18_09_2024_2gSodium,01_Full,Degen,1900,12.335012817382815,8806.096455071858,0.0,0.0,0.0,0.0,924.9,8.087906786865574,65.71154731813569,1431,3.5290267944335936,698.4049715016014,0.0,0.0,0.0,0.0,1275.0,15.759784056277415,388.4391864921987,14560,0.4280715942382813,20.744835612305913,0.0,0.0,0.0,0.0,145.0,16.010996301813677,309.80293152197845,1454,215.28441925048827,174739.44385254662,0.0,0.0,0.0,0.0,2142.3,1.6079705157573922,1.0775925370720598,14560
